,Unnamed: 0,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExteriorQ,ExteriorC,BasementQ,BasementC,BasementEx,Basement1,BsmtFinSF1,Basement2,BsmtFinSF2,BsmtUnfSF,Heating,LowQualFinSF,GrLivArea,FullBath,HalfBath,Kitchen,TotRmsAbvGrd,Function,Fireplaces,FireplaceQ,Garage,GarageYrBlt,GarageCars,GarageArea,GarageQ,GarageC,WoodDeckSF,PoolArea,Pool,FenceType,MiscVal,SalePrice,HouseAge,Porch,TotalSF
13,13,91.0,10652,7,5,2006,306.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,1494,5,0,1494,2,0,4,7,8,1,4.0,1.0,2006.0,3,840,3.0,3.0,160,0,0.0,0.0,0,279500,5,1,2988
14,14,69.0,10920,6,5,1960,212.0,3,3,3.0,3.0,1.0,4.0,733,1.0,0,520,3,0,1253,2,1,3,5,8,1,2.0,1.0,1960.0,1,352,3.0,3.0,0,0,2.0,2.0,0,157000,51,1,2506
15,15,51.0,6120,7,8,1929,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,832,5,0,854,1,0,3,5,8,0,4.0,1.0,1991.0,2,576,3.0,3.0,48,0,4.0,4.0,0,132000,82,1,1686
16,16,69.0,11241,6,7,1970,180.0,3,3,3.0,3.0,1.0,5.0,578,1.0,0,426,5,0,1004,2,0,3,5,8,1,3.0,1.0,1970.0,2,480,3.0,3.0,0,0,0.0,0.0,700,149000,41,0,2008
17,17,72.0,10791,4,5,1967,0.0,3,3,4.0,3.0,1.0,4.0,0,1.0,0,0,3,0,1296,2,0,3,6,8,0,4.0,2.0,1967.0,2,516,3.0,3.0,0,0,0.0,0.0,500,90000,44,0,1296
18,18,66.0,13695,5,5,2004,0.0,3,3,3.0,3.0,1.0,6.0,646,1.0,0,468,5,0,1114,2,1,4,6,8,0,4.0,1.0,2004.0,2,576,3.0,3.0,0,0,0.0,0.0,0,159000,7,1,2228
19,19,70.0,7560,5,6,1958,0.0,3,3,3.0,3.0,1.0,2.0,504,1.0,0,525,3,0,1339,1,0,3,6,7,0,4.0,1.0,1958.0,1,294,3.0,3.0,0,0,3.0,3.0,0,139000,53,0,2368
20,20,101.0,14215,8,5,2005,380.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1158,5,0,2376,3,1,4,9,8,1,4.0,3.0,2005.0,3,853,3.0,3.0,240,0,0.0,0.0,0,325300,6,1,3534
21,21,57.0,7449,7,7,1930,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,637,5,0,1108,1,0,4,6,8,1,4.0,1.0,1930.0,1,280,3.0,3.0,0,0,4.0,4.0,0,139400,81,1,1745
22,22,75.0,9742,8,5,2002,281.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1777,5,0,1795,2,0,4,7,8,1,4.0,1.0,2002.0,2,534,3.0,3.0,171,0,0.0,0.0,0,230000,9,1,3572
23,23,44.0,4224,5,7,1976,0.0,3,3,4.0,3.0,1.0,6.0,840,1.0,0,200,3,0,1060,2,0,3,6,8,1,3.0,1.0,1976.0,2,572,3.0,3.0,100,0,0.0,0.0,0,129900,35,1,2100
24,24,69.0,8246,5,8,1968,0.0,3,4,3.0,3.0,2.0,3.0,188,5.0,668,204,5,0,1060,2,0,4,6,8,1,3.0,1.0,1968.0,1,270,3.0,3.0,406,0,3.0,3.0,0,154000,43,1,2120
25,25,110.0,14230,8,5,2007,640.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1566,5,0,1600,2,0,4,7,8,1,4.0,1.0,2007.0,3,890,3.0,3.0,0,0,0.0,0.0,0,256300,4,1,3166
26,26,60.0,7200,5,7,1951,0.0,3,3,3.0,3.0,2.0,4.0,234,3.0,486,180,3,0,900,1,1,4,5,8,0,4.0,1.0,2005.0,2,576,3.0,3.0,222,0,0.0,0.0,0,134800,60,1,1800
27,27,98.0,11478,8,5,2007,200.0,4,3,5.0,3.0,1.0,6.0,1218,1.0,0,486,5,0,1704,3,0,4,7,8,1,4.0,1.0,2008.0,3,772,3.0,3.0,0,0,0.0,0.0,0,306000,4,1,3408
28,28,47.0,16321,5,6,1957,0.0,3,3,3.0,3.0,4.0,4.0,1277,1.0,0,207,3,0,1600,2,0,3,6,8,2,4.0,1.0,1957.0,1,319,3.0,3.0,288,0,0.0,0.0,0,207500,54,1,3084
29,29,60.0,6324,4,6,1927,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,520,2,0,520,1,0,2,4,8,0,4.0,1.0,1920.0,1,240,2.0,3.0,49,0,0.0,0.0,0,68500,84,1,1040
30,30,50.0,8500,4,4,1920,0.0,3,2,3.0,3.0,1.0,1.0,0,1.0,0,649,3,0,1317,1,0,3,6,8,0,4.0,1.0,1920.0,1,250,3.0,2.0,0,0,3.0,3.0,0,40000,91,1,1966
31,31,69.0,8544,5,6,1966,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1228,4,0,1228,1,1,4,6,8,0,4.0,1.0,1966.0,1,271,3.0,3.0,0,0,3.0,3.0,0,149350,45,1,2456
32,32,85.0,11049,8,5,2007,0.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1234,5,0,1234,2,0,4,7,8,0,4.0,1.0,2007.0,2,484,3.0,3.0,0,0,0.0,0.0,0,179900,4,1,2468
33,33,70.0,10552,5,5,1959,0.0,3,3,3.0,3.0,1.0,3.0,1018,1.0,0,380,4,0,1700,1,2,4,6,8,1,4.0,1.0,1959.0,2,447,3.0,3.0,0,0,0.0,0.0,0,165500,52,1,3098
34,34,60.0,7313,9,5,2005,246.0,5,3,5.0,3.0,1.0,6.0,1153,1.0,0,408,5,0,1561,3,0,5,6,8,1,4.0,1.0,2005.0,2,556,3.0,3.0,203,0,0.0,0.0,0,277500,6,1,3122
35,35,108.0,13418,8,5,2004,132.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1117,5,0,2452,3,1,4,9,8,1,4.0,3.0,2004.0,3,691,3.0,3.0,113,0,0.0,0.0,0,309000,7,1,3569
36,36,112.0,10859,5,5,1994,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,1097,5,0,1097,1,1,3,6,8,0,4.0,1.0,1995.0,2,672,3.0,3.0,392,0,0.0,0.0,0,145000,17,1,2194
37,37,74.0,8532,5,6,1954,650.0,3,3,3.0,3.0,1.0,3.0,1213,1.0,0,84,4,0,1297,1,1,3,5,8,1,3.0,1.0,1954.0,2,498,3.0,3.0,0,0,0.0,0.0,0,153000,57,0,2594
38,38,68.0,7922,5,7,1953,0.0,3,4,3.0,3.0,1.0,6.0,731,1.0,0,326,3,0,1057,2,0,4,5,8,0,4.0,1.0,1953.0,1,246,3.0,3.0,0,0,0.0,0.0,0,109000,58,1,2114
39,39,65.0,6040,4,5,1955,0.0,3,3,4.0,3.0,1.0,4.0,0,1.0,0,0,3,0,1152,2,0,2,6,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,82000,56,0,1152
40,40,84.0,8658,6,5,1965,101.0,3,3,3.0,3.0,1.0,3.0,643,1.0,0,445,5,0,1324,2,0,3,6,8,1,3.0,1.0,1965.0,2,440,3.0,3.0,0,0,2.0,2.0,0,160000,46,1,2412
41,41,115.0,16905,5,6,1959,0.0,3,4,3.0,3.0,4.0,4.0,967,1.0,0,383,4,0,1328,1,2,3,5,8,2,4.0,1.0,1959.0,1,308,3.0,3.0,0,0,0.0,0.0,0,170000,52,1,2678
42,42,69.0,9180,5,7,1983,0.0,3,3,4.0,3.0,3.0,5.0,747,2.0,93,0,4,0,884,2,0,4,5,8,0,4.0,1.0,1983.0,2,504,3.0,4.0,240,0,3.0,3.0,0,144000,28,0,1724
43,43,69.0,9200,5,6,1975,0.0,3,3,4.0,3.0,3.0,2.0,280,4.0,491,167,3,0,938,2,0,3,5,8,0,4.0,1.0,1977.0,1,308,3.0,3.0,145,0,3.0,3.0,0,130250,36,0,1876
44,44,70.0,7945,5,6,1959,0.0,3,3,3.0,3.0,1.0,5.0,179,4.0,506,465,5,0,1150,2,0,3,6,8,0,4.0,1.0,1959.0,1,300,3.0,3.0,0,0,0.0,0.0,0,141000,52,0,2300
45,45,61.0,7658,9,5,2005,412.0,5,3,5.0,3.0,1.0,6.0,456,1.0,0,1296,5,0,1752,3,0,5,6,8,1,4.0,1.0,2005.0,2,576,3.0,3.0,196,0,0.0,0.0,0,319900,6,1,3504
46,46,48.0,12822,7,5,2003,0.0,4,3,5.0,3.0,1.0,6.0,1351,1.0,0,83,5,0,2149,2,1,4,6,8,1,5.0,1.0,2003.0,2,670,3.0,3.0,168,0,0.0,0.0,0,239686,8,1,3583
47,47,84.0,11096,8,5,2006,0.0,4,3,4.0,3.0,3.0,6.0,24,1.0,0,1632,5,0,1656,2,0,4,7,8,0,4.0,1.0,2006.0,3,826,3.0,3.0,0,0,0.0,0.0,0,249700,5,1,3312
48,48,33.0,4456,4,5,1920,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,736,4,0,1452,2,0,3,8,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,113000,91,1,2188
49,49,66.0,7742,5,7,1966,0.0,3,3,3.0,3.0,1.0,4.0,763,1.0,0,192,5,0,955,2,0,3,6,8,0,4.0,1.0,1966.0,1,386,3.0,3.0,0,0,3.0,3.0,0,127000,45,0,1910
50,50,69.0,13869,6,6,1997,0.0,3,3,4.0,3.0,3.0,6.0,182,1.0,0,612,4,0,1470,2,1,3,6,8,0,4.0,1.0,1997.0,2,388,3.0,3.0,0,0,0.0,0.0,0,177000,14,1,2264
51,51,52.0,6240,6,6,1934,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,816,3,360,1176,1,0,3,6,8,1,4.0,1.0,1985.0,2,528,3.0,3.0,112,0,3.0,3.0,400,114500,77,0,1632
52,52,110.0,8472,5,5,1963,0.0,2,3,4.0,3.0,4.0,2.0,104,6.0,712,0,3,0,816,2,0,3,5,8,0,4.0,2.0,1963.0,2,516,3.0,3.0,106,0,0.0,0.0,0,110000,48,0,1632
53,53,68.0,50271,9,5,1981,0.0,4,3,5.0,3.0,4.0,6.0,1810,1.0,0,32,4,0,1842,2,1,4,5,8,1,4.0,1.0,1981.0,3,894,3.0,3.0,857,0,0.0,0.0,0,385000,30,1,3684
54,54,60.0,7134,5,5,1955,0.0,3,3,3.0,3.0,1.0,5.0,384,1.0,0,0,3,0,1360,1,0,3,6,7,1,3.0,1.0,1962.0,2,572,3.0,3.0,0,0,3.0,3.0,0,130000,56,1,1744
55,55,100.0,10175,6,5,1964,272.0,3,3,3.0,3.0,1.0,4.0,490,1.0,0,935,4,0,1425,2,0,3,7,8,1,4.0,1.0,1964.0,2,576,3.0,3.0,0,0,0.0,0.0,0,180500,47,1,2850
56,56,24.0,2645,8,5,1999,456.0,4,3,4.0,3.0,1.0,6.0,649,1.0,0,321,5,0,1739,3,1,4,7,8,0,4.0,1.0,1999.0,2,480,3.0,3.0,115,0,0.0,0.0,0,172500,12,0,2709
57,57,89.0,11645,7,5,2004,0.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,860,5,0,1720,2,1,4,7,8,0,4.0,1.0,2004.0,2,565,3.0,3.0,0,0,0.0,0.0,0,196500,7,1,2580
58,58,66.0,13682,10,5,2006,1031.0,5,3,5.0,3.0,4.0,1.0,0,1.0,0,1410,5,0,2945,3,1,4,10,8,1,4.0,3.0,2006.0,3,641,3.0,3.0,192,0,0.0,0.0,0,438780,5,1,4355
59,59,60.0,7200,5,7,1972,0.0,3,3,3.0,3.0,3.0,5.0,632,1.0,0,148,5,0,780,1,0,3,4,8,0,4.0,1.0,1973.0,1,352,3.0,3.0,196,0,3.0,3.0,0,124900,39,0,1560
60,60,63.0,13072,6,5,2004,0.0,3,3,4.0,3.0,1.0,5.0,941,1.0,0,217,5,0,1158,2,1,4,5,8,0,4.0,1.0,2006.0,2,576,3.0,3.0,0,0,0.0,0.0,0,158000,7,1,2316
61,61,60.0,7200,5,7,1920,0.0,3,3,3.0,2.0,1.0,1.0,0,1.0,0,530,3,0,1111,1,0,2,6,8,0,4.0,1.0,1935.0,1,288,3.0,3.0,0,0,0.0,0.0,0,101000,91,1,1641
62,62,44.0,6442,8,5,2006,178.0,4,3,4.0,4.0,2.0,6.0,24,1.0,0,1346,5,0,1370,2,0,4,6,8,1,4.0,1.0,2006.0,2,484,3.0,3.0,120,0,0.0,0.0,0,202500,5,1,2740
63,63,50.0,10300,7,6,1921,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,576,4,0,1710,2,0,3,9,8,0,4.0,1.0,1990.0,2,480,3.0,3.0,12,0,4.0,4.0,0,140000,90,1,2286
64,64,69.0,9375,7,5,1997,573.0,3,3,4.0,3.0,1.0,6.0,739,1.0,0,318,5,0,2034,3,1,4,8,8,0,4.0,1.0,1998.0,2,645,3.0,3.0,576,0,4.0,4.0,0,219500,14,1,3091
65,65,76.0,9591,8,5,2004,344.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1143,5,0,2473,2,1,4,9,8,1,4.0,3.0,2004.0,3,852,3.0,3.0,192,0,0.0,0.0,0,317000,7,1,3616
66,66,69.0,19900,7,5,1970,287.0,3,3,4.0,3.0,4.0,6.0,912,1.0,0,1035,3,0,2207,3,0,3,7,7,1,4.0,1.0,1970.0,2,576,3.0,3.0,301,0,0.0,0.0,0,180000,41,0,4154
67,67,72.0,10665,7,5,2003,167.0,4,3,4.0,3.0,3.0,6.0,1013,1.0,0,440,5,0,1479,3,0,4,7,8,0,4.0,1.0,2003.0,2,558,3.0,3.0,144,0,0.0,0.0,0,226000,8,1,2932
68,68,47.0,4608,4,6,1945,0.0,3,4,3.0,3.0,1.0,1.0,0,1.0,0,747,3,0,747,1,0,3,4,8,0,4.0,1.0,1945.0,1,220,3.0,3.0,0,0,0.0,0.0,0,80000,66,0,1494
69,69,81.0,15593,7,4,1953,0.0,4,3,3.0,3.0,1.0,4.0,603,1.0,0,701,3,0,2287,2,0,3,7,8,1,3.0,1.0,1953.0,2,667,3.0,3.0,0,0,0.0,0.0,0,225000,58,1,3591
70,70,95.0,13651,7,6,1973,1115.0,3,4,4.0,3.0,4.0,5.0,1880,1.0,0,343,5,0,2223,3,0,3,8,8,2,4.0,1.0,1973.0,2,516,3.0,3.0,300,0,0.0,0.0,0,244000,38,0,4446
71,71,69.0,7599,4,6,1982,0.0,3,3,3.0,3.0,1.0,5.0,565,1.0,0,280,3,0,845,2,0,3,4,8,0,4.0,1.0,1987.0,2,360,3.0,3.0,0,0,0.0,0.0,0,129500,29,0,1690
72,72,74.0,10141,7,5,1998,40.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,832,4,0,1718,2,1,3,7,8,1,3.0,1.0,1998.0,2,427,3.0,3.0,0,0,0.0,0.0,0,185000,13,1,2550
73,73,85.0,10200,5,7,1954,104.0,3,3,3.0,3.0,1.0,5.0,320,4.0,362,404,4,0,1086,2,0,3,6,8,0,4.0,1.0,1989.0,2,490,3.0,3.0,0,0,2.0,2.0,0,144900,57,0,2172
74,74,60.0,5790,3,6,1915,0.0,4,4,2.0,3.0,1.0,1.0,0,1.0,0,840,4,0,1605,2,0,3,8,8,0,4.0,1.0,1915.0,1,379,3.0,3.0,0,0,0.0,0.0,0,107400,96,1,2445
75,75,21.0,1596,4,5,1973,0.0,3,3,4.0,3.0,4.0,6.0,462,1.0,0,0,3,0,988,2,0,3,5,8,0,4.0,3.0,1973.0,1,297,3.0,3.0,120,0,2.0,2.0,0,91000,38,1,1450
76,76,69.0,8475,4,7,1956,0.0,3,3,3.0,3.0,1.0,5.0,228,1.0,0,724,5,0,952,1,0,3,4,8,0,4.0,1.0,1956.0,1,283,3.0,3.0,0,0,0.0,0.0,0,135750,55,0,1904
77,77,50.0,8635,5,5,1948,0.0,3,3,3.0,3.0,1.0,4.0,336,6.0,41,295,3,0,1285,2,0,3,6,7,0,4.0,1.0,1948.0,1,240,3.0,3.0,0,0,3.0,3.0,0,127000,63,0,1957
78,78,72.0,10778,4,5,1968,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1768,3,0,1768,2,0,3,8,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,136500,43,0,3536
79,79,60.0,10440,5,6,1910,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,440,4,0,1230,1,1,3,5,8,0,4.0,1.0,1966.0,2,440,3.0,3.0,74,0,3.0,3.0,0,110000,101,1,1670
80,80,100.0,13000,6,6,1968,576.0,3,4,4.0,3.0,1.0,3.0,448,1.0,0,448,3,0,2142,2,1,4,8,8,1,4.0,1.0,1968.0,1,509,3.0,3.0,0,0,0.0,0.0,0,193500,43,1,3038
81,81,32.0,4500,6,5,1998,443.0,3,4,5.0,4.0,1.0,6.0,1201,1.0,0,36,5,0,1337,3,0,3,5,8,0,4.0,1.0,1998.0,2,405,3.0,3.0,0,0,0.0,0.0,0,153500,13,1,2574
82,82,78.0,10206,8,5,2007,468.0,3,3,4.0,3.0,1.0,6.0,33,1.0,0,1530,5,0,1563,2,0,4,6,8,1,4.0,1.0,2007.0,3,758,3.0,3.0,144,0,0.0,0.0,0,245000,4,1,3126
83,83,80.0,8892,5,5,1960,66.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1065,4,0,1065,1,1,3,6,8,0,4.0,1.0,1974.0,2,461,3.0,3.0,74,0,0.0,0.0,0,126500,51,0,2130
84,84,69.0,8530,7,5,1995,22.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,384,4,0,1474,2,1,3,7,8,1,3.0,3.0,1995.0,2,400,3.0,3.0,120,0,0.0,0.0,700,168500,16,1,1858
85,85,121.0,16059,8,5,1991,284.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1288,5,0,2417,2,1,4,9,8,1,3.0,1.0,1991.0,2,462,3.0,3.0,127,0,0.0,0.0,0,260000,20,1,3705
86,86,122.0,11911,6,5,2005,0.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,684,5,0,1560,2,1,4,6,8,1,4.0,3.0,2005.0,2,400,3.0,3.0,100,0,0.0,0.0,0,174000,6,1,2244
87,87,40.0,3951,6,5,2009,76.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,612,5,0,1224,2,1,4,4,8,0,4.0,1.0,2009.0,2,528,3.0,3.0,0,0,0.0,0.0,0,164500,2,1,1836
88,88,105.0,8470,3,2,1915,0.0,2,2,3.0,2.0,1.0,1.0,0,1.0,0,1013,3,513,1526,1,0,2,6,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,3.0,3.0,0,85000,96,1,2026
89,89,60.0,8070,4,5,1994,0.0,3,3,4.0,3.0,1.0,6.0,588,1.0,0,402,5,0,990,2,0,3,5,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,123600,17,0,1980
90,90,60.0,7200,4,5,1950,0.0,3,3,4.0,3.0,1.0,4.0,0,1.0,0,0,3,0,1040,1,0,3,4,8,0,4.0,1.0,1950.0,2,420,3.0,3.0,0,0,0.0,0.0,0,109900,61,1,1040
91,91,85.0,8500,5,3,1961,203.0,3,3,3.0,3.0,1.0,3.0,600,1.0,0,635,3,0,1235,1,0,3,6,8,0,4.0,1.0,1961.0,2,480,3.0,3.0,0,0,2.0,2.0,0,98600,50,0,2470
92,92,80.0,13360,5,7,1921,0.0,3,4,4.0,3.0,1.0,5.0,713,1.0,0,163,5,0,964,2,0,3,5,8,0,4.0,1.0,1921.0,2,432,3.0,3.0,0,0,0.0,0.0,0,163500,90,1,1840
93,93,60.0,7200,6,6,1910,0.0,3,3,3.0,2.0,2.0,3.0,1046,1.0,0,168,5,0,2291,2,1,3,9,8,1,4.0,1.0,1900.0,2,506,3.0,3.0,0,0,0.0,0.0,0,133900,101,1,3505
94,94,69.0,9337,6,5,1997,0.0,3,4,4.0,3.0,1.0,6.0,648,1.0,0,176,5,0,1786,3,1,4,7,8,0,4.0,1.0,1997.0,2,684,3.0,3.0,0,0,0.0,0.0,0,204750,14,1,2610
95,95,69.0,9765,6,8,1993,68.0,5,4,4.0,4.0,1.0,5.0,310,1.0,0,370,4,0,1470,2,1,3,6,8,1,3.0,3.0,1993.0,2,420,3.0,3.0,232,0,0.0,0.0,480,185000,18,1,2150
96,96,78.0,10264,7,5,1999,183.0,4,3,4.0,3.0,3.0,5.0,1162,1.0,0,426,5,0,1588,2,0,4,6,8,0,4.0,1.0,1999.0,2,472,3.0,3.0,158,0,0.0,0.0,0,214000,12,1,3176
97,97,73.0,10921,4,5,1965,48.0,3,3,3.0,3.0,1.0,3.0,520,1.0,0,440,3,0,960,2,0,3,6,8,0,4.0,1.0,1965.0,1,432,3.0,3.0,120,0,0.0,0.0,0,94750,46,0,1920
98,98,85.0,10625,5,5,1920,0.0,3,3,3.0,3.0,1.0,5.0,108,1.0,0,350,2,0,835,1,0,3,5,8,0,4.0,4.0,1920.0,1,366,2.0,3.0,0,0,0.0,0.0,400,83000,91,1,1293
99,99,77.0,9320,4,5,1959,0.0,3,3,3.0,3.0,1.0,5.0,569,1.0,0,381,2,0,1225,2,1,3,6,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,352,0,0.0,0.0,400,128950,52,0,2175
100,100,69.0,10603,6,7,1977,28.0,3,3,3.0,3.0,2.0,5.0,1200,1.0,0,410,4,0,1610,3,0,4,6,8,2,3.0,1.0,1977.0,2,480,3.0,3.0,168,0,0.0,0.0,0,205000,34,1,3220
101,101,77.0,9206,6,5,1985,336.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,741,3,0,1732,2,1,4,7,8,1,3.0,1.0,1985.0,2,476,3.0,3.0,192,0,0.0,0.0,0,178000,26,1,2473
102,102,64.0,7018,5,5,1979,0.0,3,2,4.0,3.0,1.0,4.0,0,1.0,0,0,3,0,1535,2,0,3,8,8,0,4.0,1.0,1979.0,2,410,3.0,3.0,0,0,0.0,0.0,0,118964,32,0,1535
103,103,94.0,10402,7,5,2009,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,1226,5,0,1226,2,0,4,6,8,0,4.0,1.0,2009.0,3,740,3.0,3.0,0,0,0.0,0.0,0,198900,2,1,2452
104,104,69.0,7758,7,4,1931,600.0,3,2,3.0,3.0,1.0,2.0,224,1.0,0,816,5,0,1818,1,1,3,7,8,2,3.0,1.0,1951.0,1,240,3.0,3.0,0,0,0.0,0.0,0,169500,80,1,2858
105,105,75.0,9375,8,5,2003,768.0,4,3,5.0,3.0,1.0,1.0,0,1.0,0,1053,5,0,1992,2,1,4,9,8,1,4.0,1.0,2003.0,2,648,3.0,3.0,140,0,0.0,0.0,0,250000,8,1,3045
106,106,60.0,10800,4,7,1885,0.0,3,3,2.0,3.0,1.0,1.0,0,1.0,0,641,4,0,1047,1,0,3,6,8,0,4.0,1.0,1954.0,1,273,2.0,2.0,0,0,0.0,0.0,450,100000,126,0,1688
107,107,50.0,6000,5,5,1948,0.0,3,3,3.0,3.0,1.0,5.0,104,4.0,169,516,5,0,789,1,0,3,5,8,0,4.0,1.0,1948.0,1,250,3.0,3.0,0,0,0.0,0.0,0,115000,63,0,1578
108,108,85.0,8500,5,7,1919,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,793,3,0,1517,2,0,2,7,8,0,4.0,1.0,1980.0,0,0,3.0,3.0,0,0,0.0,0.0,0,115000,92,1,2310
109,109,105.0,11751,6,6,1977,480.0,3,3,4.0,3.0,1.0,4.0,705,1.0,0,1139,5,0,1844,2,0,3,7,8,1,3.0,1.0,1977.0,2,546,3.0,3.0,0,0,3.0,3.0,0,190000,34,1,3688
110,110,75.0,9525,6,4,1954,0.0,3,3,3.0,2.0,1.0,3.0,444,1.0,0,550,4,0,1855,2,0,3,7,8,0,4.0,1.0,1954.0,1,325,3.0,3.0,182,0,0.0,0.0,0,136900,57,0,2849
