,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,MasVnrArea,ExteriorQ,ExteriorC,BasementQ,BasementC,BasementEx,Basement1,BsmtFinSF1,Basement2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Kitchen,TotRmsAbvGrd,Function,Fireplaces,FireplaceQ,Garage,GarageYrBlt,GarageCars,GarageArea,GarageQ,GarageC,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Pool,FenceType,MiscVal,SalePrice
17,72.0,10791,4,5,1967,0.0,3,3,,,,,0,,0,0,0,3,1296,0,0,1296,0,0,2,0,3,6,8,0,,2.0,1967.0,2,516,3.0,3.0,0,0,0,0,0,0,0.0,0.0,500,90000
18,66.0,13695,5,5,2004,0.0,3,3,3.0,3.0,1.0,6.0,646,1.0,0,468,1114,5,1114,0,0,1114,1,0,1,1,4,6,8,0,,1.0,2004.0,2,576,3.0,3.0,0,102,0,0,0,0,0.0,0.0,0,159000
19,70.0,7560,5,6,1958,0.0,3,3,3.0,3.0,1.0,2.0,504,1.0,0,525,1029,3,1339,0,0,1339,0,0,1,0,3,6,7,0,,,1958.0,1,294,3.0,3.0,0,0,0,0,0,0,3.0,3.0,0,139000
20,101.0,14215,8,5,2005,380.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1158,1158,5,1158,1218,0,2376,0,0,3,1,4,9,8,1,4.0,3.0,2005.0,3,853,3.0,3.0,240,154,0,0,0,0,0.0,0.0,0,325300
21,57.0,7449,7,7,1930,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,637,637,5,1108,0,0,1108,0,0,1,0,4,6,8,1,4.0,,1930.0,1,280,3.0,3.0,0,0,205,0,0,0,4.0,4.0,0,139400
22,75.0,9742,8,5,2002,281.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1777,1777,5,1795,0,0,1795,0,0,2,0,4,7,8,1,4.0,,2002.0,2,534,3.0,3.0,171,159,0,0,0,0,0.0,0.0,0,230000
23,44.0,4224,5,7,1976,0.0,3,3,4.0,3.0,1.0,6.0,840,1.0,0,200,1040,3,1060,0,0,1060,1,0,1,0,3,6,8,1,3.0,,1976.0,2,572,3.0,3.0,100,110,0,0,0,0,0.0,0.0,0,129900
24,,8246,5,8,1968,0.0,3,4,3.0,3.0,2.0,3.0,188,5.0,668,204,1060,5,1060,0,0,1060,1,0,1,0,4,6,8,1,3.0,,1968.0,1,270,3.0,3.0,406,90,0,0,0,0,3.0,3.0,0,154000
25,110.0,14230,8,5,2007,640.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1566,1566,5,1600,0,0,1600,0,0,2,0,4,7,8,1,4.0,,2007.0,3,890,3.0,3.0,0,56,0,0,0,0,0.0,0.0,0,256300
26,60.0,7200,5,7,1951,0.0,3,3,3.0,3.0,2.0,4.0,234,3.0,486,180,900,3,900,0,0,900,0,1,1,0,4,5,8,0,,1.0,2005.0,2,576,3.0,3.0,222,32,0,0,0,0,0.0,0.0,0,134800
27,98.0,11478,8,5,2007,200.0,4,3,5.0,3.0,1.0,6.0,1218,1.0,0,486,1704,5,1704,0,0,1704,1,0,2,0,4,7,8,1,4.0,,2008.0,3,772,3.0,3.0,0,50,0,0,0,0,0.0,0.0,0,306000
28,47.0,16321,5,6,1957,0.0,3,3,3.0,3.0,4.0,4.0,1277,1.0,0,207,1484,3,1600,0,0,1600,1,0,1,0,3,6,8,2,4.0,,1957.0,1,319,3.0,3.0,288,258,0,0,0,0,0.0,0.0,0,207500
29,60.0,6324,4,6,1927,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,520,520,2,520,0,0,520,0,0,1,0,2,4,8,0,,1.0,1920.0,1,240,2.0,3.0,49,0,87,0,0,0,0.0,0.0,0,68500
30,50.0,8500,4,4,1920,0.0,3,2,3.0,3.0,1.0,1.0,0,1.0,0,649,649,3,649,668,0,1317,0,0,1,0,3,6,8,0,,1.0,1920.0,1,250,3.0,2.0,0,54,172,0,0,0,3.0,3.0,0,40000
31,,8544,5,6,1966,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1228,1228,4,1228,0,0,1228,0,0,1,1,4,6,8,0,,,1966.0,1,271,3.0,3.0,0,65,0,0,0,0,3.0,3.0,0,149350
32,85.0,11049,8,5,2007,0.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1234,1234,5,1234,0,0,1234,0,0,2,0,4,7,8,0,,,2007.0,2,484,3.0,3.0,0,30,0,0,0,0,0.0,0.0,0,179900
33,70.0,10552,5,5,1959,0.0,3,3,3.0,3.0,1.0,3.0,1018,1.0,0,380,1398,4,1700,0,0,1700,0,1,1,1,4,6,8,1,4.0,,1959.0,2,447,3.0,3.0,0,38,0,0,0,0,0.0,0.0,0,165500
34,60.0,7313,9,5,2005,246.0,5,3,5.0,3.0,1.0,6.0,1153,1.0,0,408,1561,5,1561,0,0,1561,1,0,2,0,5,6,8,1,4.0,,2005.0,2,556,3.0,3.0,203,47,0,0,0,0,0.0,0.0,0,277500
35,108.0,13418,8,5,2004,132.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1117,1117,5,1132,1320,0,2452,0,0,3,1,4,9,8,1,4.0,3.0,2004.0,3,691,3.0,3.0,113,32,0,0,0,0,0.0,0.0,0,309000
36,112.0,10859,5,5,1994,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,1097,1097,5,1097,0,0,1097,0,0,1,1,3,6,8,0,,,1995.0,2,672,3.0,3.0,392,64,0,0,0,0,0.0,0.0,0,145000
37,74.0,8532,5,6,1954,650.0,3,3,3.0,3.0,1.0,3.0,1213,1.0,0,84,1297,4,1297,0,0,1297,0,1,1,0,3,5,8,1,3.0,,1954.0,2,498,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,153000
38,68.0,7922,5,7,1953,0.0,3,4,3.0,3.0,1.0,6.0,731,1.0,0,326,1057,3,1057,0,0,1057,1,0,1,0,4,5,8,0,,1.0,1953.0,1,246,3.0,3.0,0,52,0,0,0,0,0.0,0.0,0,109000
39,65.0,6040,4,5,1955,0.0,3,3,,,,,0,,0,0,0,3,1152,0,0,1152,0,0,2,0,2,6,8,0,,,,0,0,,,0,0,0,0,0,0,0.0,0.0,0,82000
40,84.0,8658,6,5,1965,101.0,3,3,3.0,3.0,1.0,3.0,643,1.0,0,445,1088,5,1324,0,0,1324,0,0,2,0,3,6,8,1,3.0,,1965.0,2,440,3.0,3.0,0,138,0,0,0,0,2.0,2.0,0,160000
41,115.0,16905,5,6,1959,0.0,3,4,3.0,3.0,4.0,4.0,967,1.0,0,383,1350,4,1328,0,0,1328,0,1,1,1,3,5,8,2,4.0,,1959.0,1,308,3.0,3.0,0,104,0,0,0,0,0.0,0.0,0,170000
42,,9180,5,7,1983,0.0,3,3,4.0,3.0,3.0,5.0,747,2.0,93,0,840,4,884,0,0,884,1,0,1,0,4,5,8,0,,,1983.0,2,504,3.0,4.0,240,0,0,0,0,0,3.0,3.0,0,144000
43,,9200,5,6,1975,0.0,3,3,4.0,3.0,3.0,2.0,280,4.0,491,167,938,3,938,0,0,938,1,0,1,0,3,5,8,0,,1.0,1977.0,1,308,3.0,3.0,145,0,0,0,0,0,3.0,3.0,0,130250
44,70.0,7945,5,6,1959,0.0,3,3,3.0,3.0,1.0,5.0,179,4.0,506,465,1150,5,1150,0,0,1150,1,0,1,0,3,6,8,0,,,1959.0,1,300,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,141000
45,61.0,7658,9,5,2005,412.0,5,3,5.0,3.0,1.0,6.0,456,1.0,0,1296,1752,5,1752,0,0,1752,1,0,2,0,5,6,8,1,4.0,,2005.0,2,576,3.0,3.0,196,82,0,0,0,0,0.0,0.0,0,319900
46,48.0,12822,7,5,2003,0.0,4,3,5.0,3.0,1.0,6.0,1351,1.0,0,83,1434,5,1518,631,0,2149,1,0,1,1,4,6,8,1,5.0,,2003.0,2,670,3.0,3.0,168,43,0,0,198,0,0.0,0.0,0,239686
47,84.0,11096,8,5,2006,0.0,4,3,4.0,3.0,3.0,6.0,24,1.0,0,1632,1656,5,1656,0,0,1656,0,0,2,0,4,7,8,0,,,2006.0,3,826,3.0,3.0,0,146,0,0,0,0,0.0,0.0,0,249700
48,33.0,4456,4,5,1920,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,736,736,4,736,716,0,1452,0,0,2,0,3,8,8,0,,,,0,0,,,0,0,102,0,0,0,0.0,0.0,0,113000
49,66.0,7742,5,7,1966,0.0,3,3,3.0,3.0,1.0,4.0,763,1.0,0,192,955,5,955,0,0,955,1,0,1,0,3,6,8,0,,,1966.0,1,386,3.0,3.0,0,0,0,0,0,0,3.0,3.0,0,127000
50,,13869,6,6,1997,0.0,3,3,4.0,3.0,3.0,6.0,182,1.0,0,612,794,4,794,676,0,1470,0,1,2,0,3,6,8,0,,,1997.0,2,388,3.0,3.0,0,75,0,0,0,0,0.0,0.0,0,177000
51,52.0,6240,6,6,1934,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,816,816,3,816,0,360,1176,0,0,1,0,3,6,8,1,4.0,1.0,1985.0,2,528,3.0,3.0,112,0,0,0,0,0,3.0,3.0,400,114500
52,110.0,8472,5,5,1963,0.0,2,3,4.0,3.0,4.0,2.0,104,6.0,712,0,816,3,816,0,0,816,1,0,1,0,3,5,8,0,,2.0,1963.0,2,516,3.0,3.0,106,0,0,0,0,0,0.0,0.0,0,110000
53,68.0,50271,9,5,1981,0.0,4,3,5.0,3.0,4.0,6.0,1810,1.0,0,32,1842,4,1842,0,0,1842,2,0,0,1,4,5,8,1,4.0,,1981.0,3,894,3.0,3.0,857,72,0,0,0,0,0.0,0.0,0,385000
54,60.0,7134,5,5,1955,0.0,3,3,3.0,3.0,1.0,5.0,384,1.0,0,0,384,3,1360,0,0,1360,0,0,1,0,3,6,7,1,3.0,1.0,1962.0,2,572,3.0,3.0,0,50,0,0,0,0,3.0,3.0,0,130000
55,100.0,10175,6,5,1964,272.0,3,3,3.0,3.0,1.0,4.0,490,1.0,0,935,1425,4,1425,0,0,1425,0,0,2,0,3,7,8,1,4.0,,1964.0,2,576,3.0,3.0,0,0,0,407,0,0,0.0,0.0,0,180500
56,24.0,2645,8,5,1999,456.0,4,3,4.0,3.0,1.0,6.0,649,1.0,0,321,970,5,983,756,0,1739,1,0,2,1,4,7,8,0,,,1999.0,2,480,3.0,3.0,115,0,0,0,0,0,0.0,0.0,0,172500
57,89.0,11645,7,5,2004,0.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,860,860,5,860,860,0,1720,0,0,2,1,4,7,8,0,,,2004.0,2,565,3.0,3.0,0,70,0,0,0,0,0.0,0.0,0,196500
58,66.0,13682,10,5,2006,1031.0,5,3,5.0,3.0,4.0,1.0,0,1.0,0,1410,1410,5,1426,1519,0,2945,0,0,3,1,4,10,8,1,4.0,3.0,2006.0,3,641,3.0,3.0,192,0,37,0,0,0,0.0,0.0,0,438780
59,60.0,7200,5,7,1972,0.0,3,3,3.0,3.0,3.0,5.0,632,1.0,0,148,780,5,780,0,0,780,0,0,1,0,3,4,8,0,,1.0,1973.0,1,352,3.0,3.0,196,0,0,0,0,0,3.0,3.0,0,124900
60,63.0,13072,6,5,2004,0.0,3,3,4.0,3.0,1.0,5.0,941,1.0,0,217,1158,5,1158,0,0,1158,1,0,1,1,4,5,8,0,,1.0,2006.0,2,576,3.0,3.0,0,50,0,0,0,0,0.0,0.0,0,158000
61,60.0,7200,5,7,1920,0.0,3,3,3.0,2.0,1.0,1.0,0,1.0,0,530,530,3,581,530,0,1111,0,0,1,0,2,6,8,0,,1.0,1935.0,1,288,3.0,3.0,0,0,144,0,0,0,0.0,0.0,0,101000
62,44.0,6442,8,5,2006,178.0,4,3,4.0,4.0,2.0,6.0,24,1.0,0,1346,1370,5,1370,0,0,1370,0,0,2,0,4,6,8,1,4.0,,2006.0,2,484,3.0,3.0,120,49,0,0,0,0,0.0,0.0,0,202500
63,50.0,10300,7,6,1921,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,576,576,4,902,808,0,1710,0,0,2,0,3,9,8,0,,1.0,1990.0,2,480,3.0,3.0,12,11,64,0,0,0,4.0,4.0,0,140000
64,,9375,7,5,1997,573.0,3,3,4.0,3.0,1.0,6.0,739,1.0,0,318,1057,5,1057,977,0,2034,1,0,2,1,4,8,8,0,,,1998.0,2,645,3.0,3.0,576,36,0,0,0,0,4.0,4.0,0,219500
65,76.0,9591,8,5,2004,344.0,4,3,5.0,3.0,3.0,1.0,0,1.0,0,1143,1143,5,1143,1330,0,2473,0,0,2,1,4,9,8,1,4.0,3.0,2004.0,3,852,3.0,3.0,192,151,0,0,0,0,0.0,0.0,0,317000
66,,19900,7,5,1970,287.0,3,3,4.0,3.0,4.0,6.0,912,1.0,0,1035,1947,3,2207,0,0,2207,1,0,2,0,3,7,7,1,4.0,,1970.0,2,576,3.0,3.0,301,0,0,0,0,0,0.0,0.0,0,180000
67,72.0,10665,7,5,2003,167.0,4,3,4.0,3.0,3.0,6.0,1013,1.0,0,440,1453,5,1479,0,0,1479,1,0,2,0,4,7,8,0,,,2003.0,2,558,3.0,3.0,144,29,0,0,0,0,0.0,0.0,0,226000
68,47.0,4608,4,6,1945,0.0,3,4,3.0,3.0,1.0,1.0,0,1.0,0,747,747,3,747,0,0,747,0,0,1,0,3,4,8,0,,,1945.0,1,220,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,80000
69,81.0,15593,7,4,1953,0.0,4,3,3.0,3.0,1.0,4.0,603,1.0,0,701,1304,3,1304,983,0,2287,0,0,2,0,3,7,8,1,3.0,,1953.0,2,667,3.0,3.0,0,21,114,0,0,0,0.0,0.0,0,225000
70,95.0,13651,7,6,1973,1115.0,3,4,4.0,3.0,4.0,5.0,1880,1.0,0,343,2223,5,2223,0,0,2223,1,0,2,0,3,8,8,2,4.0,,1973.0,2,516,3.0,3.0,300,0,0,0,0,0,0.0,0.0,0,244000
71,69.0,7599,4,6,1982,0.0,3,3,3.0,3.0,1.0,5.0,565,1.0,0,280,845,3,845,0,0,845,1,0,1,0,3,4,8,0,,1.0,1987.0,2,360,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,129500
72,74.0,10141,7,5,1998,40.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,832,832,4,885,833,0,1718,0,0,2,1,3,7,8,1,3.0,,1998.0,2,427,3.0,3.0,0,94,0,0,291,0,0.0,0.0,0,185000
73,85.0,10200,5,7,1954,104.0,3,3,3.0,3.0,1.0,5.0,320,4.0,362,404,1086,4,1086,0,0,1086,1,0,1,0,3,6,8,0,,,1989.0,2,490,3.0,3.0,0,0,0,0,0,0,2.0,2.0,0,144900
74,60.0,5790,3,6,1915,0.0,4,4,2.0,3.0,1.0,1.0,0,1.0,0,840,840,4,840,765,0,1605,0,0,2,0,3,8,8,0,,1.0,1915.0,1,379,3.0,3.0,0,0,202,0,0,0,0.0,0.0,0,107400
75,21.0,1596,4,5,1973,0.0,3,3,4.0,3.0,4.0,6.0,462,1.0,0,0,462,3,526,462,0,988,1,0,1,0,3,5,8,0,,3.0,1973.0,1,297,3.0,3.0,120,101,0,0,0,0,2.0,2.0,0,91000
76,,8475,4,7,1956,0.0,3,3,3.0,3.0,1.0,5.0,228,1.0,0,724,952,5,952,0,0,952,0,0,1,0,3,4,8,0,,1.0,1956.0,1,283,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,135750
77,50.0,8635,5,5,1948,0.0,3,3,3.0,3.0,1.0,4.0,336,6.0,41,295,672,3,1072,213,0,1285,1,0,1,0,3,6,7,0,,1.0,1948.0,1,240,3.0,3.0,0,0,0,0,0,0,3.0,3.0,0,127000
78,72.0,10778,4,5,1968,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1768,1768,3,1768,0,0,1768,0,0,2,0,3,8,8,0,,,,0,0,,,0,0,0,0,0,0,0.0,0.0,0,136500
79,60.0,10440,5,6,1910,0.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,440,440,4,682,548,0,1230,0,0,1,1,3,5,8,0,,1.0,1966.0,2,440,3.0,3.0,74,0,128,0,0,0,3.0,3.0,0,110000
80,100.0,13000,6,6,1968,576.0,3,4,4.0,3.0,1.0,3.0,448,1.0,0,448,896,3,1182,960,0,2142,0,0,2,1,4,8,8,1,4.0,,1968.0,1,509,3.0,3.0,0,72,0,0,252,0,0.0,0.0,0,193500
81,32.0,4500,6,5,1998,443.0,3,4,5.0,4.0,1.0,6.0,1201,1.0,0,36,1237,5,1337,0,0,1337,1,0,2,0,3,5,8,0,,,1998.0,2,405,3.0,3.0,0,199,0,0,0,0,0.0,0.0,0,153500
82,78.0,10206,8,5,2007,468.0,3,3,4.0,3.0,1.0,6.0,33,1.0,0,1530,1563,5,1563,0,0,1563,0,0,2,0,4,6,8,1,4.0,,2007.0,3,758,3.0,3.0,144,99,0,0,0,0,0.0,0.0,0,245000
83,80.0,8892,5,5,1960,66.0,3,3,3.0,3.0,1.0,1.0,0,1.0,0,1065,1065,4,1065,0,0,1065,0,0,1,1,3,6,8,0,,1.0,1974.0,2,461,3.0,3.0,74,0,0,0,0,0,0.0,0.0,0,126500
84,,8530,7,5,1995,22.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,384,384,4,804,670,0,1474,0,0,2,1,3,7,8,1,3.0,3.0,1995.0,2,400,3.0,3.0,120,72,0,0,0,0,0.0,0.0,700,168500
85,121.0,16059,8,5,1991,284.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,1288,1288,5,1301,1116,0,2417,0,0,2,1,4,9,8,1,3.0,,1991.0,2,462,3.0,3.0,127,82,0,0,0,0,0.0,0.0,0,260000
86,122.0,11911,6,5,2005,0.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,684,684,5,684,876,0,1560,0,0,2,1,4,6,8,1,4.0,3.0,2005.0,2,400,3.0,3.0,100,38,0,0,0,0,0.0,0.0,0,174000
87,40.0,3951,6,5,2009,76.0,4,3,4.0,3.0,3.0,1.0,0,1.0,0,612,612,5,612,612,0,1224,0,0,2,1,4,4,8,0,,1.0,2009.0,2,528,3.0,3.0,0,234,0,0,0,0,0.0,0.0,0,164500
88,105.0,8470,3,2,1915,0.0,2,2,3.0,2.0,1.0,1.0,0,1.0,0,1013,1013,3,1013,0,513,1526,0,0,1,0,2,6,8,0,,,,0,0,,,0,0,156,0,0,0,3.0,3.0,0,85000
89,60.0,8070,4,5,1994,0.0,3,3,4.0,3.0,1.0,6.0,588,1.0,0,402,990,5,990,0,0,990,1,0,1,0,3,5,8,0,,,,0,0,,,0,0,0,0,0,0,0.0,0.0,0,123600
90,60.0,7200,4,5,1950,0.0,3,3,,,,,0,,0,0,0,3,1040,0,0,1040,0,0,1,0,3,4,8,0,,1.0,1950.0,2,420,3.0,3.0,0,29,0,0,0,0,0.0,0.0,0,109900
91,85.0,8500,5,3,1961,203.0,3,3,3.0,3.0,1.0,3.0,600,1.0,0,635,1235,3,1235,0,0,1235,0,0,1,0,3,6,8,0,,,1961.0,2,480,3.0,3.0,0,0,0,0,0,0,2.0,2.0,0,98600
92,80.0,13360,5,7,1921,0.0,3,4,4.0,3.0,1.0,5.0,713,1.0,0,163,876,5,964,0,0,964,1,0,1,0,3,5,8,0,,1.0,1921.0,2,432,3.0,3.0,0,0,44,0,0,0,0.0,0.0,0,163500
93,60.0,7200,6,6,1910,0.0,3,3,3.0,2.0,2.0,3.0,1046,1.0,0,168,1214,5,1260,1031,0,2291,0,1,2,0,3,9,8,1,4.0,1.0,1900.0,2,506,3.0,3.0,0,0,0,0,99,0,0.0,0.0,0,133900
94,69.0,9337,6,5,1997,0.0,3,4,4.0,3.0,1.0,6.0,648,1.0,0,176,824,5,905,881,0,1786,1,0,2,1,4,7,8,0,,,1997.0,2,684,3.0,3.0,0,162,0,0,0,0,0.0,0.0,0,204750
95,,9765,6,8,1993,68.0,5,4,4.0,4.0,1.0,5.0,310,1.0,0,370,680,4,680,790,0,1470,0,0,2,1,3,6,8,1,3.0,3.0,1993.0,2,420,3.0,3.0,232,63,0,0,0,0,0.0,0.0,480,185000
96,78.0,10264,7,5,1999,183.0,4,3,4.0,3.0,3.0,5.0,1162,1.0,0,426,1588,5,1588,0,0,1588,0,0,2,0,4,6,8,0,,,1999.0,2,472,3.0,3.0,158,29,0,0,0,0,0.0,0.0,0,214000
97,73.0,10921,4,5,1965,48.0,3,3,3.0,3.0,1.0,3.0,520,1.0,0,440,960,3,960,0,0,960,1,0,1,0,3,6,8,0,,,1965.0,1,432,3.0,3.0,120,0,0,0,0,0,0.0,0.0,0,94750
98,85.0,10625,5,5,1920,0.0,3,3,3.0,3.0,1.0,5.0,108,1.0,0,350,458,2,835,0,0,835,0,0,1,0,3,5,8,0,,4.0,1920.0,1,366,2.0,3.0,0,0,77,0,0,0,0.0,0.0,400,83000
99,77.0,9320,4,5,1959,0.0,3,3,3.0,3.0,1.0,5.0,569,1.0,0,381,950,2,1225,0,0,1225,1,0,1,1,3,6,8,0,,,,0,0,,,352,0,0,0,0,0,0.0,0.0,400,128950
100,,10603,6,7,1977,28.0,3,3,3.0,3.0,2.0,5.0,1200,1.0,0,410,1610,4,1610,0,0,1610,1,0,2,0,4,6,8,2,3.0,,1977.0,2,480,3.0,3.0,168,68,0,0,0,0,0.0,0.0,0,205000
101,77.0,9206,6,5,1985,336.0,4,3,4.0,3.0,1.0,1.0,0,1.0,0,741,741,3,977,755,0,1732,0,0,2,1,4,7,8,1,3.0,,1985.0,2,476,3.0,3.0,192,46,0,0,0,0,0.0,0.0,0,178000
102,64.0,7018,5,5,1979,0.0,3,2,,,,,0,,0,0,0,3,1535,0,0,1535,0,0,2,0,3,8,8,0,,,1979.0,2,410,3.0,3.0,0,0,0,0,0,0,0.0,0.0,0,118964
103,94.0,10402,7,5,2009,0.0,3,3,4.0,3.0,1.0,1.0,0,1.0,0,1226,1226,5,1226,0,0,1226,0,0,2,0,4,6,8,0,,,2009.0,3,740,3.0,3.0,0,36,0,0,0,0,0.0,0.0,0,198900
104,,7758,7,4,1931,600.0,3,2,3.0,3.0,1.0,2.0,224,1.0,0,816,1040,5,1226,592,0,1818,0,0,1,1,3,7,8,2,3.0,1.0,1951.0,1,240,3.0,3.0,0,0,0,0,184,0,0.0,0.0,0,169500
105,75.0,9375,8,5,2003,768.0,4,3,5.0,3.0,1.0,1.0,0,1.0,0,1053,1053,5,1053,939,0,1992,0,0,2,1,4,9,8,1,4.0,,2003.0,2,648,3.0,3.0,140,45,0,0,0,0,0.0,0.0,0,250000
