,age,workclass,education,educational-num,marital-status,occupation,relationship,race,gender,hours-per-week,Income_Above_or_Below_50K
59,33,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
60,30,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,50,0
61,39,Private,Some-college,10,Divorced,Sales,Not-in-family,White,Male,40,0
62,26,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,0
63,33,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,40,0
64,47,Local-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,0
66,41,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,60,1
67,19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,20,0
68,46,Private,HS-grad,9,Separated,Transport-moving,Not-in-family,White,Male,40,0
69,43,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,48,0
70,55,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
71,46,Private,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,40,0
72,30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
73,21,Private,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Female,40,0
74,46,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Other,Male,40,0
76,41,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,0
77,69,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,30,0
78,50,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
79,20,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
80,45,Self-emp-inc,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,50,0
81,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,40,0
82,24,Private,Some-college,10,Separated,Other-service,Not-in-family,White,Male,40,0
84,31,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,50,0
85,43,Private,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Female,44,0
86,20,Federal-gov,11th,7,Never-married,Other-service,Own-child,White,Female,10,0
87,55,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,56,1
88,24,Federal-gov,Some-college,10,Never-married,Armed-Forces,Not-in-family,White,Male,40,0
90,59,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,25,0
91,49,Federal-gov,7th-8th,4,Never-married,Other-service,Not-in-family,Black,Male,20,0
92,33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,10,1
93,59,Federal-gov,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Male,40,0
94,34,Private,Masters,14,Never-married,Other-service,Not-in-family,Amer-Indian-Eskimo,Male,40,0
95,20,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,40,0
96,25,Private,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,40,0
97,49,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
98,59,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
99,20,Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
101,33,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,35,0
102,22,Private,Some-college,10,Never-married,Transport-moving,Own-child,Black,Male,39,0
103,58,Self-emp-not-inc,9th,5,Widowed,Other-service,Not-in-family,White,Female,40,0
104,52,Local-gov,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,28,0
105,36,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,White,Female,40,0
106,41,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,40,0
107,28,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,40,0
108,19,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Black,Male,16,0
109,18,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,28,0
110,18,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,48,0
111,28,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
112,29,Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
114,40,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
115,26,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,40,0
116,46,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
117,23,Private,11th,7,Never-married,Other-service,Not-in-family,White,Female,24,0
118,44,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,40,0
119,43,Private,Bachelors,13,Divorced,Sales,Unmarried,White,Female,40,1
120,31,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,60,0
121,18,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,25,0
122,19,Private,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,30,0
123,41,Private,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,40,0
124,41,Private,HS-grad,9,Divorced,Handlers-cleaners,Unmarried,White,Female,40,0
125,69,Private,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,25,0
126,48,Federal-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,1
127,28,Private,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,40,0
128,27,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,1
129,41,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,1
130,41,Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,0
131,24,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,Black,Female,40,0
133,42,Self-emp-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,41,1
134,57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,48,0
135,30,Private,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Female,40,0
136,36,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,60,1
137,49,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,0
138,33,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,35,0
139,23,Private,10th,6,Married-civ-spouse,Farming-fishing,Husband,White,Male,40,0
140,46,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,0
141,18,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,22,0
142,40,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
143,43,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
144,34,Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Female,30,0
145,47,Self-emp-not-inc,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Female,30,0
146,44,Private,Assoc-voc,11,Widowed,Exec-managerial,Unmarried,White,Female,30,0
147,33,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,1
148,55,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
149,19,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,30,0
150,28,Private,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,14,0
151,27,Private,11th,7,Married-civ-spouse,Other-service,Wife,Black,Female,32,0
152,50,Private,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,20,0
153,22,Private,11th,7,Never-married,Craft-repair,Unmarried,White,Male,40,0
154,40,State-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,45,1
155,25,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,40,0
156,26,Local-gov,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,40,0
157,22,Private,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,25,0
158,42,Private,Some-college,10,Never-married,Handlers-cleaners,Unmarried,Black,Female,40,0
159,38,Self-emp-inc,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,40,0
160,55,Private,11th,7,Married-civ-spouse,Other-service,Husband,White,Male,30,0
161,32,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,0
162,22,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0
163,29,Private,Bachelors,13,Never-married,Sales,Own-child,White,Male,40,0
164,46,State-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
165,31,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
166,58,Self-emp-not-inc,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,16,1
167,42,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,45,0
168,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,25,0
169,58,Local-gov,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,33,0
170,54,Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
171,34,Private,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,0
172,26,Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,40,0
173,61,Private,12th,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,0
174,48,Local-gov,Masters,14,Separated,Adm-clerical,Unmarried,Black,Female,40,0
175,36,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,1
176,24,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,0
177,40,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,37,0
178,33,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,50,1
179,37,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,1
180,34,Private,Masters,14,Never-married,Exec-managerial,Own-child,White,Male,40,0
181,56,Self-emp-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
183,37,Private,Bachelors,13,Widowed,Exec-managerial,Not-in-family,White,Female,55,0
184,44,Private,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,40,0
186,54,Private,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White,Male,45,0
187,23,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,50,0
189,22,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,45,0
190,33,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
191,39,Private,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,50,1
192,47,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,Black,Female,37,0
194,26,Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,55,0
195,31,Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,40,0
196,44,Private,Some-college,10,Never-married,Transport-moving,Not-in-family,White,Male,45,0
197,42,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,1
198,19,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,0
199,27,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,1
200,51,Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1
201,28,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,0
202,57,Private,Bachelors,13,Divorced,Craft-repair,Not-in-family,White,Male,45,0
203,45,Local-gov,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,40,0
204,50,Private,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
205,34,Self-emp-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,54,0
206,45,Private,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,0
207,73,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,20,0
208,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,50,1
209,31,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,55,1
210,19,Private,11th,7,Never-married,Sales,Not-in-family,White,Male,12,0
211,25,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,50,0
212,38,Federal-gov,Assoc-voc,11,Divorced,Craft-repair,Unmarried,White,Female,40,0
213,39,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
214,23,Private,Bachelors,13,Never-married,Tech-support,Own-child,Black,Female,32,0
215,49,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
216,33,Federal-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,32,0
217,21,Private,5th-6th,3,Never-married,Machine-op-inspct,Other-relative,White,Male,38,0
218,31,Private,Assoc-voc,11,Separated,Craft-repair,Not-in-family,White,Male,40,0
219,23,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,45,0
220,34,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,40,0
221,25,Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,40,0
222,39,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,40,0
223,52,Self-emp-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,40,1
224,63,Local-gov,9th,5,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
225,41,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
226,46,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,38,1
227,53,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
230,18,Private,12th,8,Never-married,Priv-house-serv,Own-child,White,Male,40,0
231,38,Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,0
232,55,Private,Masters,14,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,50,0
233,34,Private,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,40,1
234,80,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,30,0
235,34,Private,Assoc-voc,11,Divorced,Tech-support,Unmarried,White,Female,60,0
236,52,Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,40,0
237,42,Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,28,0
238,26,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,40,0
239,31,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,40,0
240,25,Local-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Female,35,0
241,55,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,60,0
242,19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,12,0
243,62,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,32,0
244,22,Federal-gov,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,20,0
246,35,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
247,28,Private,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Female,40,0
248,47,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,70,1
249,44,State-gov,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
250,21,Private,Some-college,10,Never-married,Sales,Own-child,White,Male,15,0
251,35,Private,Assoc-voc,11,Never-married,Craft-repair,Not-in-family,White,Male,50,0
252,24,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,1
254,28,Private,Bachelors,13,Never-married,Tech-support,Own-child,White,Male,50,0
255,21,Private,Some-college,10,Never-married,Machine-op-inspct,Other-relative,White,Male,35,0
256,62,Federal-gov,Some-college,10,Divorced,Tech-support,Not-in-family,Black,Male,40,0
257,39,Private,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,40,0
258,30,State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,40,0
259,72,Self-emp-not-inc,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,20,0
260,50,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,0
261,28,Local-gov,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,40,0
262,29,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,40,0
263,26,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,40,0
264,27,Private,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,40,0
265,29,Private,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,1
267,29,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,25,0
269,31,Private,11th,7,Married-civ-spouse,Sales,Wife,White,Female,20,0
270,25,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,75,0
271,58,Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,40,1
272,64,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,1
273,46,State-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Male,38,0
275,19,Private,HS-grad,9,Never-married,Other-service,Own-child,Amer-Indian-Eskimo,Female,35,0
276,42,Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,52,0
277,18,Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,24,0
278,58,Self-emp-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,50,1
279,20,Private,Some-college,10,Never-married,Protective-serv,Not-in-family,Black,Male,60,0
280,35,Federal-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
281,32,Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,38,1
282,23,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,25,0
283,31,Private,Some-college,10,Divorced,Tech-support,Unmarried,White,Female,40,0
284,33,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,Black,Male,55,0
285,41,Private,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,48,0
286,22,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,40,0
287,46,Private,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,40,1
288,61,Federal-gov,Some-college,10,Married-civ-spouse,Transport-moving,Husband,Black,Male,40,0
289,30,Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Black,Male,40,0
290,42,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,1
291,63,Private,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,0
292,26,Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,40,0
293,42,Private,10th,6,Divorced,Adm-clerical,Unmarried,White,Female,40,0
294,23,Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,40,0
295,25,Private,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,40,0
296,30,Private,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,32,1
297,23,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,40,0
298,34,Self-emp-not-inc,Assoc-voc,11,Never-married,Farming-fishing,Not-in-family,White,Male,60,1
299,30,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,48,0
300,39,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
301,30,Private,11th,7,Never-married,Handlers-cleaners,Other-relative,White,Male,38,0
302,38,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,38,0
303,26,Private,HS-grad,9,Divorced,Exec-managerial,Own-child,White,Female,40,0
304,20,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,16,0
306,33,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Own-child,White,Female,40,0
307,24,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Male,40,0
308,42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,1
309,51,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,84,0
310,56,Local-gov,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,45,1
311,22,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,40,0
312,52,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,0
313,44,Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,45,1
314,34,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,35,0
315,51,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,42,1
317,19,Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,25,0
318,37,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,1
319,68,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,40,1
320,22,Private,Some-college,10,Divorced,Protective-serv,Not-in-family,White,Male,40,0
321,56,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,0
322,37,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,0
323,52,Private,1st-4th,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,0
324,26,Private,HS-grad,9,Separated,Handlers-cleaners,Own-child,White,Male,40,0
325,33,Private,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,0
326,45,Local-gov,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,42,0
327,18,Private,11th,7,Never-married,Other-service,Own-child,White,Male,15,0
328,43,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,60,1
330,18,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,20,0
332,57,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,40,1
333,41,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,42,0
334,34,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,1
335,19,Private,HS-grad,9,Never-married,Sales,Unmarried,White,Female,40,0
336,44,Private,9th,5,Divorced,Other-service,Unmarried,White,Female,55,0
